"2023-04-07T11:32:35.568Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:35.608Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:35.741Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:35.792Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:35.874Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:35.956Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:36.058Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:36.139Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:36.271Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:36.323Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:36.404Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:36.415Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:36.517Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:36.598Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:36.680Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:36.782Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:36.905Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:36.966Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:37.037Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:37.139Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:37.220Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:37.312Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:37.384Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:37.405Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:37.508Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:37.621Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:37.723Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:37.764Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:37.855Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:37.936Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:38.038Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:38.120Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:38.263Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:38.346Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:38.376Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:38.407Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:38.478Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:38.569Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:38.692Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:38.763Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:38.845Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:38.968Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:39.060Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:39.112Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:39.193Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:39.295Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:39.388Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:39.398Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:39.471Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:39.596Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:39.707Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:39.748Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:39.840Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:39.922Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:40.025Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:40.106Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:40.208Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:40.323Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:40.435Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:40.435Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:40.455Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:40.557Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:40.680Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:40.731Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:40.812Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:40.955Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:41.007Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:41.131Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:41.182Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:41.273Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:41.365Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:41.386Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:41.458Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:41.540Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:41.675Z","EVSE","V2G CurrentDemandRes",""
