"2023-04-04T10:05:18.706Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:18.829Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:18.921Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:19.088Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:19.088Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:19.150Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:19.286Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:19.401Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:19.514Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:19.597Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:19.709Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:19.812Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:19.935Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:20.028Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:20.079Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:20.140Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:20.253Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:20.376Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:20.459Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:20.594Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:20.738Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:20.831Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:20.903Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:21.025Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:21.087Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:21.128Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:21.251Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:21.343Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:21.466Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:21.568Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:21.691Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:21.825Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:21.938Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:22.054Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:22.086Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:22.191Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:22.224Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:22.348Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:22.440Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:22.562Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:22.664Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:22.787Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:22.889Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:23.002Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:23.084Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:23.106Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:23.251Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:23.324Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:23.461Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:23.595Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:23.677Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:23.770Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:23.882Z","CAR","V2G CurrentDemandReq",""
